planner,start_positions_mode,terrain,probability_map,num_drones,detection_radius,time_budget,trajectories,coverage,total_distance,expected_target_detection_time,total_waypoints,coverage_per_distance,drone_times,best_fitness
greedy,circle,default_hills,hotspot_10_10,3,15.0,60.0,"[[array([20.        ,  0.        , 28.21472272]), array([10.        ,  0.        , 27.85118082]), array([ 0.       ,  0.       , 29.4832014]), array([-10.        ,   0.        ,  34.81986548]), array([-20.        ,   0.        ,  34.65190027]), array([-30.       ,   0.       ,  28.5452057]), array([-30.        , -10.        ,  30.84439491]), array([-20.       , -10.       ,  40.9155037]), array([-10.        , -10.        ,  41.31298582]), array([  0.        , -10.        ,  32.51223398]), array([ 10.        , -10.        ,  27.72995755]), array([ 20.        , -10.        ,  26.03511621]), array([ 20.        , -20.        ,  26.59282227]), array([ 30.        , -20.        ,  25.14693977]), array([30.       ,  0.       , 27.2688676]), array([30.        , 10.        , 31.16113825]), array([30.        , 20.        , 33.59838391]), array([30.        , 30.        , 31.16100567])], [array([-10.        ,  17.32050808,  25.96367205]), array([-10.        ,  20.        ,  25.77391306]), array([-20.        ,  20.        ,  25.23440136]), array([-30.        ,  20.        ,  25.06780257]), array([-30.        ,  10.        ,  25.79293224]), array([-20.        ,  10.        ,  27.19134118]), array([-10.        ,  10.        ,  27.57838823]), array([ 0.      , 10.      , 28.059295]), array([ 0.        , 20.        , 28.22809308]), array([ 0.       , 30.       , 27.2684676]), array([-10.        ,  30.        ,  25.43341673]), array([-20.        ,  30.        ,  25.04684133]), array([-30.        ,  30.        ,  25.00402714]), array([10.        , 30.        , 31.16127075]), array([10.        , 20.        , 33.60717073]), array([10.       , 10.       , 31.2699603]), array([20.        , 20.        , 37.00043986])], [array([-10.        , -17.32050808,  38.36164561]), array([-10.        , -20.        ,  36.14859497]), array([-20.        , -20.        ,  34.73997525]), array([-30.        , -20.        ,  28.54634704]), array([-30.        , -30.        ,  25.79278845]), array([-20.        , -30.        ,  27.25479718]), array([-10.        , -30.        ,  28.66094186]), array([  0.        , -30.        ,  31.52387562]), array([  0.        , -20.        ,  34.29193224]), array([ 10.        , -20.        ,  31.25344676]), array([ 10.        , -30.        ,  30.84134918]), array([ 20.        , -30.        ,  26.51921806]), array([ 30.        , -30.        ,  25.10715422]), array([ 30.        , -10.        ,  25.45648411]), array([20.        ,  0.        , 28.21472272]), array([20.        , 10.        , 33.60421142]), array([20.        , 30.        , 33.59838894])]]",0.0,567.0272746832857,60.00000000000001,52,0.0,"[np.float64(38.75003473674382), np.float64(37.87221513549169), np.float64(36.783205064421644)]",
greedy,circle,default_hills,hotspot_10_10,3,20.0,60.0,"[[array([20.        ,  0.        , 28.21472272]), array([-10.        ,  10.        ,  27.57838823]), array([-20.        ,  10.        ,  27.19134118]), array([-30.        ,  10.        ,  25.79293224]), array([-30.       ,   0.       ,  28.5452057]), array([-30.        ,  20.        ,  25.06780257]), array([-30.        ,  30.        ,  25.00402714]), array([-20.        ,  30.        ,  25.04684133]), array([-20.        ,  20.        ,  25.23440136]), array([-10.        ,  20.        ,  25.77391306]), array([-10.        ,  30.        ,  25.43341673]), array([ 0.       , 30.       , 27.2684676]), array([10.        , 30.        , 31.16127075]), array([20.        , 30.        , 33.59838894]), array([20.        , 20.        , 37.00043986]), array([30.        , 20.        , 33.59838391]), array([30.        , 30.        , 31.16100567])], [array([-10.        ,  17.32050808,  25.96367205]), array([-30.        , -10.        ,  30.84439491]), array([-30.        , -20.        ,  28.54634704]), array([-30.        , -30.        ,  25.79278845]), array([-30.        , -10.        ,  30.84439491]), array([-10.        , -10.        ,  41.31298582]), array([  0.        , -10.        ,  32.51223398]), array([ 0.       ,  0.       , 29.4832014]), array([ 0.      , 10.      , 28.059295]), array([-10.        ,  10.        ,  27.57838823]), array([ 0.        , 20.        , 28.22809308]), array([10.        , 20.        , 33.60717073]), array([10.       , 10.       , 31.2699603]), array([20.        , 10.        , 33.60421142]), array([30.        , 10.        , 31.16113825]), array([ 30.        , -10.        ,  25.45648411]), array([ 30.        , -30.        ,  25.10715422])], [array([-10.        , -17.32050808,  38.36164561]), array([-10.        , -30.        ,  28.66094186]), array([-20.        , -30.        ,  27.25479718]), array([-10.        , -30.        ,  28.66094186]), array([  0.        , -30.        ,  31.52387562]), array([  0.        , -20.        ,  34.29193224]), array([ 10.        , -20.        ,  31.25344676]), array([ 10.        , -30.        ,  30.84134918]), array([ 20.        , -30.        ,  26.51921806]), array([ 20.        , -20.        ,  26.59282227]), array([ 20.        , -10.        ,  26.03511621]), array([ 10.        , -10.        ,  27.72995755]), array([10.        ,  0.        , 27.85118082]), array([20.        ,  0.        , 28.21472272]), array([30.       ,  0.       , 27.2688676]), array([ 30.        , -20.        ,  25.14693977])]]",0.12244897959183676,602.7244119675667,57.143402525694135,50,0.0002031591506176224,"[np.float64(39.007475478406015), np.float64(47.81422264080695), np.float64(33.72318427430037)]",
greedy,circle,default_hills,hotspot_10_10,3,25.0,60.0,"[[array([20.        ,  0.        , 28.21472272]), array([ 10.        , -10.        ,  27.72995755]), array([30.        , 10.        , 31.16113825]), array([-30.        ,  10.        ,  25.79293224]), array([-30.        ,  30.        ,  25.00402714]), array([-30.        , -30.        ,  25.79278845]), array([ 0.       ,  0.       , 29.4832014]), array([10.        ,  0.        , 27.85118082])], [array([-10.        ,  17.32050808,  25.96367205]), array([10.        , 30.        , 31.16127075]), array([-10.        ,  30.        ,  25.43341673]), array([-10.        , -30.        ,  28.66094186]), array([ 10.        , -30.        ,  30.84134918]), array([ 20.        , -20.        ,  26.59282227]), array([ 30.        , -20.        ,  25.14693977]), array([-20.        ,  30.        ,  25.04684133])], [array([-10.        , -17.32050808,  38.36164561]), array([ 30.        , -10.        ,  25.45648411]), array([30.        , 30.        , 31.16100567]), array([ 30.        , -30.        ,  25.10715422]), array([-30.        , -10.        ,  30.84439491]), array([-30.        ,  20.        ,  25.06780257]), array([-20.        ,  20.        ,  25.23440136])]]",1.0,703.8862944631155,9.059528552475738,23,0.0014206840051669755,"[np.float64(47.12427696193024), np.float64(44.166962962999314), np.float64(49.486018967693546)]",
greedy,circle,default_hills,hotspot_10_10,3,30.0,60.0,"[[array([20.        ,  0.        , 28.21472272]), array([ 10.        , -10.        ,  27.72995755]), array([ 30.        , -30.        ,  25.10715422]), array([-30.        ,  30.        ,  25.00402714])], [array([-10.        ,  17.32050808,  25.96367205]), array([10.        , 30.        , 31.16127075]), array([-30.        ,  10.        ,  25.79293224])], [array([-10.        , -17.32050808,  38.36164561]), array([30.        , 30.        , 31.16100567]), array([-30.        , -30.        ,  25.79278845])]]",1.0,344.09659166294074,0.57480009004986,10,0.0029061607241362866,"[np.float64(25.481787071732626), np.float64(13.857336468154413), np.float64(29.480194792701116)]",
greedy,circle,default_hills,hotspot_10_10,3,35.0,60.0,"[[array([20.        ,  0.        , 28.21472272]), array([30.        , 10.        , 31.16113825]), array([ 30.        , -10.        ,  25.45648411])], [array([-10.        ,  17.32050808,  25.96367205]), array([-10.        ,  10.        ,  27.57838823])], [array([-10.        , -17.32050808,  38.36164561]), array([-10.        , -30.        ,  28.66094186])]]",1.0,58.7047012000432,0.0703850432766816,7,0.017034410865875663,"[np.float64(7.0486955766372175), np.float64(1.4992951258100198), np.float64(3.192949537561404)]",
ga,circle,default_hills,hotspot_10_10,3,15.0,60.0,"[[array([20.        ,  0.        , 28.21472272]), array([30.        , 10.        , 31.16113825]), array([30.        , 10.        , 31.16113825]), array([30.        , 10.        , 31.16113825])], [array([-10.        ,  17.32050808,  25.96367205]), array([-30.        ,  30.        ,  25.00402714]), array([-30.        ,  30.        ,  25.00402714]), array([-30.        ,  30.        ,  25.00402714])], [array([-10.        , -17.32050808,  38.36164561])]]",0,38.14581700205078,60.00000000000001,9,0.0,"[np.float64(2.889161570054977), np.float64(4.740001830355178), 0.0]",-0.038145817002050775
ga,circle,default_hills,hotspot_10_10,3,20.0,60.0,"[[array([20.        ,  0.        , 28.21472272]), array([ 30.        , -10.        ,  25.45648411])], [array([-10.        ,  17.32050808,  25.96367205]), array([-10.        ,  10.        ,  27.57838823]), array([-10.        ,  10.        ,  27.57838823]), array([-10.        ,  10.        ,  27.57838823])], [array([-10.        , -17.32050808,  38.36164561]), array([-10.        , -10.        ,  41.31298582]), array([-10.        , -10.        ,  41.31298582])]]",0.025576581869178,29.798130594326928,58.50375193238067,9,0.0008583284037974973,"[np.float64(2.8817208763350948), np.float64(1.4992951258100198), np.float64(1.578610116720271)]",-0.004221548725148926
ga,circle,default_hills,hotspot_10_10,3,25.0,60.0,"[[array([20.        ,  0.        , 28.21472272]), array([30.        , 10.        , 31.16113825]), array([30.        , 10.        , 31.16113825]), array([30.        , 10.        , 31.16113825])], [array([-10.        ,  17.32050808,  25.96367205]), array([10.       , 10.       , 31.2699603]), array([10.        , 30.        , 31.16127075]), array([10.        , 30.        , 31.16127075])], [array([-10.        , -17.32050808,  38.36164561]), array([ 10.        , -10.        ,  27.72995755]), array([ 30.        , -10.        ,  25.45648411]), array([ 30.        , -10.        ,  25.45648411]), array([10.       , 10.       , 31.2699603]), array([-10.        ,  10.        ,  27.57838823]), array([-10.        ,  30.        ,  25.43341673])]]",0.7916557915423673,169.65553466040097,13.601246214385448,15,0.004666253848582202,"[np.float64(2.889161570054977), np.float64(8.389804086531308), np.float64(22.65214127549391)]",0.6220002568819664
ga,circle,default_hills,hotspot_10_10,3,30.0,60.0,"[[array([20.        ,  0.        , 28.21472272]), array([30.        , 30.        , 31.16100567]), array([30.        , 30.        , 31.16100567]), array([ 30.        , -10.        ,  25.45648411]), array([ 10.        , -10.        ,  27.72995755])], [array([-10.        ,  17.32050808,  25.96367205]), array([-10.        ,  10.        ,  27.57838823]), array([-10.        ,  10.        ,  27.57838823]), array([-10.        ,  10.        ,  27.57838823])], [array([-10.        , -17.32050808,  38.36164561]), array([-10.        ,  10.        ,  27.57838823]), array([-10.        ,  10.        ,  27.57838823]), array([-10.        ,  30.        ,  25.43341673])]]",0.9867123349007072,149.27599029716492,1.3671897455065738,13,0.006609986863503306,"[np.float64(18.45865129312968), np.float64(1.4992951258100198), np.float64(9.89725164049329)]",0.8374363446035422
ga,circle,default_hills,hotspot_10_10,3,35.0,60.0,"[[array([20.        ,  0.        , 28.21472272]), array([30.        , 10.        , 31.16113825]), array([30.        , 10.        , 31.16113825]), array([30.        , 10.        , 31.16113825]), array([ 10.        , -10.        ,  27.72995755]), array([ 10.        , -10.        ,  27.72995755])], [array([-10.        ,  17.32050808,  25.96367205]), array([-10.        ,  10.        ,  27.57838823])], [array([-10.        , -17.32050808,  38.36164561])]]",0.9951755919903458,50.433913846899316,0.222964680156937,9,0.019732269738402017,"[np.float64(8.587487643569842), np.float64(1.4992951258100198), 0.0]",0.9447416781434465
